bachelor_degree_level_tot_2016, advanced_diploma_diploma_level_tot_2016, no_scl_tot_2016, graduate_diploma_graduate_certificate_level_tot_2016, yr_12_equivalent_tot_2016, remoteness, postgraduate_degree_level_tot_2016, certificate_level_tot_2016, est_res_pop, sa3_code, yr, unemployed_tot, longitude, latitude, labour_force_tot
2537,2396,119,369,10710,"Inner Regional Australia",352,6568,42181,"10903",2016,831,145.0879661,-35.39476143,16144
3998,2293,97,690,14845,"Inner Regional Australia",1948,4639,37867,"11001",2016,1210,151.7460308,-30.73030496,18879
2168,2056,107,302,9286,"Outer Regional Australia",287,5661,39371,"11002",2016,1658,151.3459377,-29.44966516,17446
1618,1252,94,207,6628,"Outer Regional Australia",241,3314,26756,"11003",2016,1109,149.6363027,-29.65162026,13896
5613,4794,248,795,21949,"Inner Regional Australia",1017,12526,83644,"11004",2016,2943,150.5640185,-31.08341184,40616
12203,8863,261,1641,39233,"Major Cities of Australia",2848,20621,126221,"11101",2016,3323,151.661568,-33.02054542,66368
5719,5431,179,795,21726,"Major Cities of Australia",1537,13951,77270,"11102",2016,2464,151.493709,-33.04450043,38074
21898,11797,593,2564,67609,"Major Cities of Australia",6735,23694,170736,"11103",2016,6111,151.7103068,-32.87336206,93956
9555,6386,156,1384,29019,"Inner Regional Australia",2235,11381,80850,"11201",2016,1919,153.4259035,-28.86432506,38569
5909,4250,181,925,20235,"Inner Regional Australia",1193,10903,72945,"11202",2016,2487,152.9350553,-28.78554397,34329
7530,6722,197,1141,29067,"Major Cities of Australia",1543,14869,94011,"11203",2016,2113,153.3562204,-28.36000892,41233
2953,2234,378,368,12028,"Outer Regional Australia",458,6696,49494,"11301",2016,1122,145.8483801,-34.07067644,26368
894,831,43,120,3558,"Inner Regional Australia",127,2238,15051,"11302",2016,317,148.2419598,-35.73398154,7614
7883,5446,281,1047,29019,"Inner Regional Australia",1702,14768,95586,"11303",2016,2124,147.4451735,-34.91340759,50252
6956,7049,222,1304,28189,"Inner Regional Australia",1789,17940,101270,"11401",2016,3613,150.379721,-35.07540672,39725
5393,4056,112,859,18205,"Inner Regional Australia",1770,7064,48815,"11402",2016,706,150.3393913,-34.49320786,21643
27593,12681,622,2719,78563,"Major Cities of Australia",11225,11979,152682,"11501",2016,3684,150.9952743,-33.7305926,84372
3615,2299,136,391,11635,"Major Cities of Australia",1076,3589,27583,"11502",2016,710,151.0147551,-33.54750567,15214
2067,2020,50,334,8049,"Inner Regional Australia",563,4703,25691,"11503",2016,1282,150.7783124,-33.30506696,14673
4289,2700,104,416,14018,"Major Cities of Australia",1327,4468,32284,"11504",2016,1041,150.8930316,-33.6212448,17649
16625,9715,1359,1266,59753,"Major Cities of Australia",6099,14793,139639,"11601",2016,4123,150.9085011,-33.7690008,72054
14360,7053,498,1170,44251,"Major Cities of Australia",5591,9290,95237,"11602",2016,1282,150.8610824,-33.69875015,51831
9773,6373,1176,585,41306,"Major Cities of Australia",2601,11677,115973,"11603",2016,5467,150.8388566,-33.77475089,53131
7117,3524,562,512,24194,"Major Cities of Australia",2841,4513,49284,"11701",2016,1430,151.2001913,-33.94541162,24411
34125,9437,240,2788,79361,"Major Cities of Australia",12797,6204,138895,"11801",2016,1721,151.2555253,-33.88235602,83786
58724,16852,1408,4639,147110,"Major Cities of Australia",24714,11270,216845,"11703",2016,5891,151.1996706,-33.88910337,144413
29599,9904,761,2610,82909,"Major Cities of Australia",12650,10410,147408,"11802",2016,3093,151.242153,-33.94348662,80299
17268,11582,3470,1295,71638,"Major Cities of Australia",5064,17111,180086,"11901",2016,6280,151.0147829,-33.92756159,81721
16368,9324,3603,1159,63636,"Major Cities of Australia",6111,10505,139707,"11902",2016,4598,151.0893054,-33.92424691,65563
11937,4076,934,1369,31508,"Major Cities of Australia",4769,4075,56427,"11702",2016,2273,151.1612797,-33.91010694,33838
